36 0 0 39 34 0 0 47 24 8 19 0 120 30 0 0 0 0 43 0 40 0 32 0 32 0.51
3 0 3 0 0 1 2 0 4 6 3 0 0 0 0 3 0 0 0 3 0 1 0 0 4 0.13
2 3 0 15 21 0 3 8 0 0 0 0 4 2 11 2 12 3 1 21 3 2 3 0 1 0.34
0 0 0 3 8 2 7 0 1 0 4 4 2 16 0 0 10 13 8 2 7 0 3 0 3 0.33
0 0 3 0 1 0 1 0 0 2 0 0 2 0 0 2 0 0 1 3 0 0 0 3 2 0.08
0 0 1 3 6 5 1 0 1 0 1 2 1 1 0 0 4 0 0 0 0 0 0 3 0 0.11
0 25 32 26 11 9 0 0 40 9 50 0 0 137 0 16 13 58 0 0 33 34 0 0 0 0.55
4 0 6 0 0 1 1 0 0 0 6 0 1 0 0 0 13 3 0 6 2 0 0 0 0 0.16
47 45 17 0 16 0 3 49 31 0 15 6 37 0 87 3 42 0 46 31 0 0 0 19 3 0.58
1 21 7 0 0 0 0 7 19 3 6 14 1 5 0 1 19 23 0 2 1 15 5 3 10 0.44
11 5 0 80 0 65 0 0 20 0 0 40 23 32 59 19 0 0 14 6 34 0 0 32 11 0.56
5 15 5 1 6 0 0 22 0 0 0 9 12 0 1 7 7 1 3 20 6 4 0 1 8 0.41
0 40 35 4 0 78 22 35 0 0 0 0 0 74 0 0 0 14 6 0 0 0 0 0 0 0.32
5 0 2 0 3 0 0 3 0 0 0 0 1 0 4 0 1 0 1 4 1 0 3 0 0 0.11
0 0 11 32 27 0 17 44 0 49 0 0 52 5 28 0 1 59 0 37 56 43 20 0 0 0.54
5 0 0 5 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 3 2 0.08
16 0 0 8 0 0 3 0 0 1 2 3 1 7 18 6 0 4 13 6 1 23 2 5 14 0.39
6 0 15 0 6 0 0 1 9 0 3 12 3 2 4 0 1 5 0 8 3 0 1 0 2 0.29
6 1 0 0 3 7 2 7 1 11 6 0 3 2 1 4 0 6 8 0 0 0 22 11 6 0.37
3 9 0 0 7 3 2 13 0 0 0 12 0 9 0 12 0 4 12 1 3 10 10 0 7 0.43
0 0 0 0 0 0 1 0 0 1 1 2 0 0 0 5 2 0 0 3 0 2 0 2 0 0.07
0 1 0 0 0 0 1 5 0 4 2 0 0 3 0 3 0 0 3 0 6 3 0 0 0 0.12
